recipe_id,recipe_name,ingredients,cuisine,veg_nonveg,instructions,prep_time,difficulty,category,calories
59,Chicken Risotto,"Arborio rice, chicken breast, onion, garlic, chicken stock, olive oil, butter, salt, black pepper, parmesan cheese, parsley",Italian,non-veg,"Heat olive oil and butter in a pan. Sauteee chopped onion and garlic until translucent. Add diced chicken and cook until lightly browned. Add Arborio rice and toast for 2 minutes. Gradually pour warm chicken stock, stirring continuously until absorbed before adding more. Cook for 25 to 30 minutes until rice is creamy and chicken is fully cooked. Add parmesan cheese, salt, and pepper. Garnish with parsley and serve hot.",45,Medium,dinner,480
60,Vegetable Calzone,"pizza dough,tomato,cheese,vegetables",Italian,veg,Fill dough with vegetables and cheese. Bake until golden.,35,Medium,dinner,330
61,Kung Pao Chicken,"Chicken breast, roasted peanuts, garlic, ginger, green chili, soy sauce, rice vinegar, sugar, cornflour, sesame oil, vegetable oil, spring onion",Chinese,non-veg,"Cut chicken into small cubes. Mix chicken with a little cornflour and salt. Heat vegetable oil in a wok on high heat. Stir-fry chicken until lightly golden and cooked. Remove and set aside. In the same wok, add chopped garlic, ginger, and green chili. Sauteee briefly. Add roasted peanuts, cooked chicken, soy sauce, rice vinegar, sugar, and a splash of water. Stir-fry on high heat for 23 minutes until sauce thickens. Drizzle sesame oil, garnish with chopped spring onion, and serve hot.",30,Medium,dinner,400
62,Veg Hakka Noodles,"Noodles, cabbage, carrot, capsicum, spring onion, garlic, soy sauce, vinegar, oil, salt, black pepper, chili sauce (optional)",Chinese,veg,"Boil noodles until al dente, drain, and toss with a little oil to prevent sticking. Heat oil in a wok on high heat. Add minced garlic and saut until fragrant. Add thinly sliced cabbage, carrot, and capsicum. Stir-fry for 23 minutes until vegetables are tender-crisp. Add cooked noodles, soy sauce, vinegar, salt, black pepper, and chili sauce if using. Toss everything well for 23 minutes. Garnish with chopped spring onion and serve hot.",25,Easy,lunch,250
63,Sweet and Sour Chicken,"Chicken breast, onion, bell pepper, garlic, ginger, soy sauce, ketchup, vinegar, sugar, cornflour, vegetable oil, salt, black pepper",Chinese,non-veg,"Cut chicken into bite-sized pieces, coat lightly with cornflour, salt, and pepper. Heat oil in a pan and fry chicken until golden and cooked. Remove and set aside. In the same pan, saut minced garlic and ginger until aromatic. Add chopped onion and bell pepper, stir-fry for 23 minutes. Mix soy sauce, ketchup, vinegar, and sugar to make sweet-sour sauce. Add to the pan along with fried chicken. Toss well on high heat for 23 minutes until sauce thickens. Serve hot.",35,Medium,dinner,400
64,Mapo Tofu,"Soft tofu, garlic, ginger, soy sauce, chili bean paste, vegetable oil, spring onion, sesame oil, cornstarch, water",Chinese,veg,"Cut tofu into small cubes and set aside. Heat vegetable oil in a pan on medium heat. Add minced garlic and ginger and saut until fragrant. Add chili bean paste and stir for 30 seconds. Add tofu cubes gently, pour a little water, and simmer for 34 minutes. Mix cornstarch with water and add to pan to thicken sauce. Drizzle sesame oil, garnish with chopped spring onion, and serve hot.",25,Medium,dinner,250
65,Chinese Vegetable Soup,"Carrot, cabbage, onion, garlic, ginger, spring onion, vegetable stock or water, salt, black pepper, sesame oil (optional)",Chinese,veg,"Heat a pot with a little oil. Add minced garlic and ginger, saut briefly. Add chopped carrot, cabbage, and onion. Stir-fry for 23 minutes. Pour in vegetable stock or water. Bring to boil, then simmer for 10 to 12 minutes until vegetables are tender. Season with salt and black pepper. Drizzle sesame oil and garnish with spring onion. Serve hot.",20,Easy,lunch,170
66,Italian Minestrone Soup,"Tomato, carrot, beans, zucchini, pasta (small shapes), onion, garlic, olive oil, vegetable stock, salt, black pepper, oregano, basil",Italian,veg,"Heat olive oil in a pot. Sauteee chopped onion and garlic until translucent. Add chopped carrot, beans, and zucchini, stir for 23 minutes. Add chopped tomato and cook until softened. Pour in vegetable stock and bring to a boil. Add pasta and cook until tender, stirring occasionally. Season with salt, black pepper, oregano, and basil. Serve hot.",30,Easy,lunch,170
67,Pesto Pasta,"Pasta, fresh basil leaves, garlic, pine nuts, olive oil, parmesan cheese, salt, black pepper, lemon juice (optional)",Italian,veg,"Boil pasta until al dente, drain, and set aside. In a blender, combine basil leaves, garlic, pine nuts, olive oil, parmesan cheese, salt, black pepper, and lemon juice (optional) to make pesto sauce. Toss cooked pasta with pesto sauce until evenly coated. Serve warm, garnished with extra parmesan.",20,Easy,lunch,430
68,Chicken Parmigiana,"Chicken breast, tomato sauce, mozzarella cheese, parmesan cheese, olive oil, garlic, flour, egg, breadcrumbs, salt, black pepper, Italian herbs",Italian,non-veg,"Pound chicken breast to even thickness. Season with salt, pepper, and Italian herbs. Coat chicken with flour, dip in beaten egg, and coat with breadcrumbs. Heat olive oil in a pan and cook chicken until golden brown. Place cooked chicken in a baking dish, spread tomato sauce over it, sprinkle mozzarella and parmesan. Bake in preheated oven at 200C for 15 to 20 minutes until cheese melts. Serve hot.",40,Medium,dinner,480
69,Mushroom Risotto,"Arborio rice, mushrooms, onion, garlic, olive oil, vegetable stock, parmesan cheese, butter, salt, black pepper, parsley",Italian,veg,"Heat olive oil and butter in a pan. Sauteee chopped onion and garlic until soft. Add sliced mushrooms and cook until they release moisture. Add Arborio rice and toast for 2 minutes. Gradually add warm vegetable stock, stirring continuously, letting rice absorb liquid before adding more. Cook for 20 to 25 minutes until rice is creamy and tender. Add parmesan cheese, salt, pepper, and garnish with parsley. Serve hot.",45,Medium,dinner,330
70,Spaghetti Aglio Olio,"Spaghetti pasta, garlic, olive oil, dried chili flakes, salt, black pepper, parsley (optional)",Italian,veg,"Boil spaghetti in salted water until al dente, drain, and reserve some pasta water. Heat olive oil in a pan on medium heat. Sauteee sliced garlic until golden. Add chili flakes and cooked spaghetti. Toss quickly, adding a little reserved pasta water to coat evenly. Season with salt and black pepper. Garnish with chopped parsley and serve hot.",20,Easy,dinner,250
71,Chicken Chow Mein,"Noodles, chicken breast, garlic, ginger, soy sauce, oyster sauce, spring onion, carrot, cabbage, bell pepper, vegetable oil, salt, black pepper",Chinese,non-veg,"Boil noodles until al dente, drain, and toss with a little oil to prevent sticking. Heat oil in a wok on high heat. Add minced garlic and ginger, saut briefly. Add sliced chicken and stir-fry until fully cooked. Remove and set aside. Add sliced carrot, cabbage, and bell pepper to the wok. Stir-fry for 23 minutes until tender-crisp. Return cooked chicken to the wok. Add noodles, soy sauce, oyster sauce, salt, and black pepper. Toss everything on high heat for 23 minutes until well combined. Garnish with chopped spring onion and serve hot.",30,Easy,dinner,400
72,Vegetable Manchow Soup,"Cabbage, carrot, beans, spring onion, garlic, ginger, soy sauce, cornflour, vegetable stock, black pepper, oil, chili sauce (optional)",Chinese,veg,"Finely chop all vegetables. Heat oil in a pot and saut minced garlic and ginger until fragrant. Add vegetables and stir-fry for 23 minutes. Pour in vegetable stock and bring to a boil. Mix cornflour with water and add to soup to thicken slightly. Season with soy sauce, black pepper, and chili sauce if using. Simmer for 5 minutes. Garnish with chopped spring onion and serve hot.",25,Easy,lunch,170
73,Italian Stuffed Peppers,"Bell peppers, cooked rice, mozzarella cheese, parmesan cheese, onion, garlic, tomato, olive oil, salt, black pepper, Italian herbs (oregano, basil)",Italian,veg,"Preheat oven to 200C. Cut the tops off bell peppers and remove seeds. Heat olive oil in a pan, saut chopped onion and garlic until translucent. Add diced tomato, cooked rice, salt, pepper, and Italian herbs. Mix well. Stuff the mixture into bell peppers, top with mozzarella and parmesan cheese. Place peppers in a baking dish and bake for 20 to 25 minutes until tender and cheese is melted. Serve hot.",35,Medium,dinner,330
74,Chicken Piccata,"Chicken breast, garlic, lemon juice, olive oil, butter, flour, chicken stock, capers (optional), salt, black pepper, parsley",Italian,non-veg,"Pound chicken breast to even thickness and season with salt and pepper. Lightly coat chicken in flour. Heat olive oil and butter in a pan on medium heat. Pan-fry chicken until golden brown and cooked through. Remove and keep warm. In the same pan, saut minced garlic briefly. Add lemon juice, chicken stock, and capers. Simmer for 23 minutes. Return chicken to the pan and coat with sauce. Garnish with chopped parsley and serve hot.",30,Medium,dinner,400
75,Veg Fried Rice,"Cooked rice, carrot, peas, beans, bell pepper, garlic, spring onion, soy sauce, vegetable oil, salt, black pepper",Chinese,veg,"Heat oil in a wok on high heat. Add minced garlic and saut until fragrant. Add chopped carrot, peas, beans, and bell pepper. Stir-fry for 23 minutes until vegetables are tender-crisp. Add cooked rice, soy sauce, salt, and black pepper. Toss well on high heat for 23 minutes. Garnish with chopped spring onion and serve hot.",20,Easy,lunch,250
76,Szechuan Vegetables,"Carrot, beans, bell pepper, garlic, ginger, spring onion, soy sauce, vinegar, chili paste, vegetable oil, salt, black pepper",Chinese,veg,"Heat oil in a wok on high heat. Add minced garlic and ginger, saut briefly. Add chopped carrot, beans, and bell pepper. Stir-fry for 34 minutes until tender-crisp. Mix soy sauce, vinegar, chili paste, salt, and black pepper in a small bowl. Pour sauce over vegetables and stir-fry for 2 more minutes until coated. Garnish with spring onion and serve hot.",25,Medium,dinner,250
77,Italian Baked Ziti,"Ziti pasta, tomato sauce, mozzarella cheese, parmesan cheese, onion, garlic, olive oil, basil, salt, black pepper",Italian,veg,"Preheat oven to 200C. Boil ziti pasta until al dente, drain and set aside. Heat olive oil in a pan. Sauteee chopped onion and garlic until translucent. Add tomato sauce, salt, black pepper, and basil. Simmer for 57 minutes. Mix cooked pasta with sauce and half of the mozzarella cheese. Transfer to a baking dish, top with remaining mozzarella and parmesan. Bake for 20 to 25 minutes until bubbly and golden. Serve hot.",40,Medium,dinner,430
78,Chicken Lasagna,"Lasagna sheets, chicken breast, tomato sauce, mozzarella cheese, parmesan cheese, onion, garlic, olive oil, salt, black pepper, Italian herbs (oregano, basil)",Italian,non-veg,"Preheat oven to 200C. Boil lasagna sheets as per instructions. Heat olive oil in a pan, saut chopped onion and garlic until soft. Add diced chicken, season with salt, black pepper, and Italian herbs, cook until done. Layer a baking dish with sauce, lasagna sheets, chicken mixture, and mozzarella cheese. Repeat layers and finish with parmesan on top. Bake for 3035 minutes until golden. Serve hot.",50,Medium,dinner,580
79,Garlic Mushroom Pasta,"Pasta, mushrooms, garlic, olive oil, parmesan cheese, butter, salt, black pepper, parsley",Italian,veg,"Boil pasta until al dente, drain, and set aside. Heat olive oil and a small amount of butter in a pan. Sauteee minced garlic until fragrant. Add sliced mushrooms and cook until tender and slightly browned. Toss in cooked pasta, add salt, black pepper, and parmesan cheese. Mix well. Garnish with chopped parsley and serve warm.",25,Easy,lunch,430
80,Hot and Sour Soup,"Tofu, mushrooms, carrot, cabbage, garlic, ginger, soy sauce, vinegar, chili paste, cornflour, vegetable stock, sesame oil, salt, black pepper, spring onion",Chinese,veg,"Heat vegetable stock in a pot. Add minced garlic and ginger, saut briefly. Add sliced mushrooms, carrot, and cabbage. Boil for 57 minutes until vegetables are tender. Mix soy sauce, vinegar, chili paste, and cornflour slurry. Pour into soup, stirring to thicken. Add cubed tofu and simmer for 23 minutes. Season with salt and black pepper. Drizzle sesame oil, garnish with chopped spring onion, and serve hot.",30,Medium,lunch,170
81,Chicken Hot and Sour Soup,"Chicken breast, mushrooms, carrot, cabbage, garlic, ginger, soy sauce, vinegar, chili paste, cornflour, chicken stock, sesame oil, salt, black pepper, spring onion",Chinese,non-veg,"Heat chicken stock in a pot and bring to a boil. Add minced garlic and ginger and saut briefly. Add sliced mushrooms, carrot, and cabbage. Boil until vegetables are tender. Mix soy sauce, vinegar, chili paste, and cornflour slurry. Pour into soup, stirring to thicken. Add shredded cooked chicken and simmer for 23 minutes. Season with salt and black pepper, drizzle sesame oil, garnish with chopped spring onion, and serve hot.",30,Medium,lunch,320
82,Italian Chicken Stew,"Chicken pieces, tomato, onion, garlic, olive oil, carrots, celery, potatoes, chicken stock, salt, black pepper, Italian herbs (oregano, basil, thyme)",Italian,non-veg,"Heat olive oil in a large pot. Sauteee chopped onion and garlic until translucent. Add chicken pieces and brown lightly on all sides. Add chopped tomato, carrots, celery, and potatoes. Pour in chicken stock. Season with salt, pepper, and Italian herbs. Simmer on low heat for 3040 minutes until chicken is tender and vegetables are cooked. Serve hot with bread or over rice.",45,Medium,dinner,400
83,Veg Spring Roll Bowl,"Cabbage, carrot, bell pepper, garlic, ginger, cooked noodles, soy sauce, sesame oil, spring onion, vegetable oil, salt, black pepper",Chinese,veg,"Heat vegetable oil in a wok. Sauteee minced garlic and ginger until fragrant. Add chopped cabbage, carrot, and bell pepper. Stir-fry for 34 minutes until tender-crisp. Add cooked noodles, soy sauce, sesame oil, salt, and black pepper. Toss well to combine. Garnish with chopped spring onion and serve hot in a bowl.",20,Easy,snack,250
84,Lemon Garlic Pasta,"Pasta, garlic, lemon juice, lemon zest, olive oil, parmesan cheese, salt, black pepper, parsley",Italian,veg,"Boil pasta until al dente, drain, and set aside. Heat olive oil in a pan, saut minced garlic until fragrant. Add cooked pasta, lemon juice, and lemon zest. Toss to combine. Season with salt and black pepper. Add parmesan cheese, mix well, and garnish with chopped parsley. Serve warm.",20,Easy,lunch,430
85,Chicken Garlic Noodles,"Noodles, chicken breast, garlic, soy sauce, oyster sauce, spring onion, vegetable oil, carrot, bell pepper, salt, black pepper",Chinese,non-veg,"Cook noodles until al dente, drain, and set aside. Heat vegetable oil in a wok on high heat. Add minced garlic and saut briefly. Add sliced chicken and cook until done. Add julienned carrot and bell pepper, stir-fry for 23 minutes. Add noodles, soy sauce, oyster sauce, salt, and black pepper. Toss everything well for 23 minutes. Garnish with chopped spring onion and serve hot.",25,Easy,lunch,400
86,Italian Veg Wrap,"Flatbread, bell pepper, zucchini, carrot, onion, spinach, mozzarella cheese, olive oil, salt, black pepper",Italian,veg,"Slice all vegetables thinly. Heat olive oil in a pan and saut vegetables for 34 minutes until tender-crisp. Warm flatbread on a separate pan. Place sauted vegetables on the flatbread, sprinkle mozzarella cheese. Fold or roll tightly, press lightly, and grill for 23 minutes until flatbread is warm and cheese melts. Serve warm.",20,Easy,snack,330
87,Chicken Milanese,"Chicken breast, breadcrumbs, parmesan cheese, flour, egg, olive oil, salt, black pepper, lemon wedges",Italian,non-veg,"Pound chicken breast to even thickness. Season with salt and black pepper. Dredge chicken in flour, dip in beaten egg, and coat with breadcrumbs mixed with parmesan cheese. Heat olive oil in a pan on medium heat. Pan-fry chicken until golden brown and cooked through on both sides. Serve hot with lemon wedges.",30,Medium,dinner,480
88,Veg Chili Garlic,"Carrot, beans, bell pepper, broccoli, garlic, ginger, soy sauce, chili sauce, sesame oil, vegetable oil, spring onion, salt, black pepper",Chinese,veg,"Heat vegetable oil in a wok. Sauteee minced garlic and ginger until fragrant. Add chopped vegetables and stir-fry on high heat for 34 minutes until tender-crisp. Add soy sauce, chili sauce, salt, and black pepper. Toss well for 23 minutes. Drizzle sesame oil, garnish with spring onion, and serve hot.",20,Easy,dinner,250
89,Italian Creamy Mushroom,"Mushrooms, garlic, olive oil, butter, heavy cream, parmesan cheese, salt, black pepper, parsley",Italian,veg,"Heat olive oil and butter in a pan. Sauteee minced garlic until fragrant. Add sliced mushrooms and cook until tender and slightly browned. Pour in heavy cream and simmer for 34 minutes until slightly thickened. Add parmesan cheese, salt, and black pepper. Mix well and garnish with chopped parsley. Serve hot.",30,Medium,dinner,330
90,Chicken Szechuan Noodles,"Noodles, chicken breast, garlic, ginger, soy sauce, chili sauce, spring onion, vegetable oil, carrot, bell pepper, salt, black pepper",Chinese,non-veg,"Cook noodles until al dente, drain, and set aside. Heat vegetable oil in a wok on high heat. Sauteee minced garlic and ginger briefly. Add sliced chicken and cook until fully done. Add julienned carrot and bell pepper, stir-fry for 23 minutes. Add noodles, soy sauce, chili sauce, salt, and black pepper. Toss well on high heat until noodles are coated and hot. Garnish with chopped spring onion and serve hot.",30,Medium,lunch,400
91,Veg Dumpling Soup,"Vegetable dumplings, garlic, ginger, spring onion, soy sauce, vegetable stock, sesame oil, salt, black pepper",Chinese,veg,"Heat vegetable stock in a pot and bring to a boil. Add minced garlic and ginger, saut briefly. Add vegetable dumplings and simmer until dumplings are cooked through. Season with soy sauce, salt, and black pepper. Drizzle sesame oil, garnish with chopped spring onion, and serve hot.",25,Easy,snack,170
92,Italian Tomato Bruschetta,"Bread slices, tomatoes, garlic, olive oil, basil leaves, salt, black pepper",Italian,veg,"Toast bread slices until golden brown. Finely chop tomatoes and garlic. Mix with olive oil, salt, black pepper, and chopped basil. Spread the tomato mixture evenly on toasted bread and serve fresh immediately.",15,Easy,breakfast,250
93,Chicken Bruschetta,"Bread slices, cooked chicken breast, tomatoes, garlic, olive oil, basil leaves, salt, black pepper",Italian,non-veg,"Toast bread slices until golden. Chop cooked chicken and tomatoes. Mix with minced garlic, olive oil, salt, black pepper, and chopped basil. Top each toasted bread slice with the chicken-tomato mixture and serve warm.",20,Easy,breakfast,400
94,Veg Garlic Rice,"Cooked rice, garlic, vegetable oil, salt, black pepper, spring onion",Chinese,veg,Heat vegetable oil in a pan. Sauteee minced garlic until fragrant. Add cooked rice and toss well to combine. Season with salt and black pepper. Garnish with chopped spring onion and serve hot.,15,Easy,lunch,250
95,Italian Spinach Pasta,"Pasta, fresh spinach, garlic, olive oil, parmesan cheese, salt, black pepper",Italian,veg,"Boil pasta until al dente, drain, and set aside. Heat olive oil in a pan, saut minced garlic until fragrant. Add fresh spinach and cook until wilted. Toss cooked pasta with spinach and garlic oil. Season with salt, black pepper, sprinkle parmesan cheese, and serve warm.",25,Easy,lunch,430
96,Chicken Spinach Pasta,"Pasta, chicken breast, fresh spinach, garlic, olive oil, parmesan cheese, salt, black pepper",Italian,non-veg,"Boil pasta until al dente, drain, and set aside. Heat olive oil in a pan, saut minced garlic. Add diced chicken and cook until fully done. Add fresh spinach and cook until wilted. Toss pasta with chicken and spinach. Season with salt and black pepper, sprinkle parmesan cheese, and serve hot.",30,Medium,lunch,580
97,Veg Szechuan Rice,"Cooked rice, carrot, beans, bell pepper, garlic, soy sauce, chili sauce, sesame oil, vegetable oil, salt, black pepper",Chinese,veg,"Heat vegetable oil in a wok. Sauteee minced garlic until fragrant. Add chopped carrot, beans, and bell pepper, stir-fry on high heat for 34 minutes. Add cooked rice, soy sauce, chili sauce, salt, and black pepper. Toss everything together on high heat for 23 minutes. Drizzle sesame oil and serve hot.",20,Easy,lunch,250
98,Italian Veg Casserole,"Zucchini, bell pepper, carrot, broccoli, olive oil, mozzarella cheese, parmesan cheese, salt, black pepper, Italian herbs",Italian,veg,"Preheat oven to 200C. Chop all vegetables into bite-sized pieces. Toss vegetables with olive oil, salt, black pepper, and Italian herbs. Layer vegetables in a baking dish. Sprinkle mozzarella and parmesan cheese on top. Bake for 20 to 25 minutes until vegetables are tender and cheese is golden. Serve hot.",40,Medium,dinner,330
99,Chicken Veg Stir Fry,"Chicken breast, carrot, bell pepper, broccoli, garlic, ginger, soy sauce, vegetable oil, salt, black pepper, spring onion",Chinese,non-veg,"Heat vegetable oil in a wok on high heat. Sauteee minced garlic and ginger until fragrant. Add diced chicken and cook until fully done. Add chopped vegetables and stir-fry for 34 minutes until tender-crisp. Add soy sauce, salt, and black pepper. Toss everything for 23 minutes. Garnish with spring onion and serve hot.",25,Easy,dinner,400
100,Italian Mixed Grill Veg,"Zucchini, bell pepper, mushrooms, olive oil, garlic, salt, black pepper, rosemary, thyme",Italian,veg,"Preheat grill or oven to 200C. Slice zucchini, bell pepper, and mushrooms. Toss vegetables with olive oil, minced garlic, salt, black pepper, rosemary, and thyme. Grill vegetables until tender and lightly charred, about 1015 minutes. Serve hot.",30,Easy,dinner,250
105,Rajma Masala,"Kidney beans, onion, tomato, ginger garlic paste, oil, cumin seeds, spices, salt",Indian,veg,Soak kidney beans overnight and pressure cook until soft. Heat oil in a pan and add cumin seeds. Add onions and saut until golden. Add ginger garlic paste and cook briefly. Add tomato puree and spices. Cook until oil separates. Add cooked rajma and simmer for 15 minutes. Serve hot with rice.,45,Medium,lunch,410
107,Vegetable Biryani,"Basmati rice, carrot, beans, peas, onion, yogurt, spices, oil, mint, salt",Indian,veg,Cook rice until 70% done and keep aside. Heat oil and saut onions until golden. Add vegetables and spices. Add yogurt and cook briefly. Layer rice and vegetable mixture. Cover and cook on low heat for 15 minutes. Serve hot.,50,Medium,lunch,460
108,Grilled Chicken Salad,"Chicken breast, lettuce, tomato, cucumber, olive oil, lemon juice, salt, pepper",Continental,non-veg,"Marinate chicken with salt, pepper, olive oil, and lemon juice. Grill chicken until cooked and slice thinly. Chop vegetables and place in a bowl. Add grilled chicken on top. Toss lightly and serve fresh.",25,Easy,lunch,350
109,Paneer Pulao,"Basmati rice, paneer, onion, peas, cumin seeds, oil, garam masala, salt",Indian,veg,"Heat oil and add cumin seeds. Add onions and saut until light brown. Add paneer cubes and peas and saut briefly. Add rice, garam masala, salt, and water. Cook covered on low heat until rice is fully cooked. Serve hot.",35,Easy,lunch,400
111,Vegetable Kung Pao,"Bell pepper, zucchini, carrot, peanuts, garlic, ginger, soy sauce, vinegar, oil, chili flakes",Chinese,veg,"Heat oil in a wok on high heat. Add chopped garlic and ginger and saut quickly. Add chopped vegetables and stir fry for 34 minutes until slightly tender. Add peanuts, soy sauce, vinegar, and chili flakes. Stir fry on high heat until vegetables are well coated with sauce. Serve hot with steamed rice.",25,Medium,lunch,380
112,Mexican Chicken Rice Bowl,"Rice, chicken, bell pepper, onion, garlic, cumin powder, paprika, olive oil, salt",Mexican,non-veg,"Cook rice and keep aside. Heat olive oil in a pan and saut garlic and onion. Add chicken pieces and cook until browned. Add bell pepper, cumin powder, paprika, and salt. Cook until chicken is tender and vegetables are soft. Serve chicken mixture over rice as a bowl meal.",30,Easy,lunch,480
113,Falafel Rice Plate,"Falafel balls, rice, cucumber, tomato, yogurt, garlic, olive oil, salt",Middle Eastern,veg,"Cook rice and keep warm. Prepare or reheat falafel until crisp. Mix yogurt with garlic and salt to make sauce. Arrange rice on a plate, add falafel, chopped cucumber and tomato. Drizzle yogurt sauce and olive oil on top. Serve fresh.",30,Easy,lunch,420
114,Grilled Fish with Vegetables,"Fish fillet, zucchini, carrot, olive oil, garlic, lemon juice, salt, pepper",Continental,non-veg,"Marinate fish with lemon juice, garlic, salt, and pepper for 15 minutes. Heat grill pan and brush with olive oil. Grill fish on both sides until cooked through. Grill vegetables separately until tender. Serve fish with grilled vegetables on the side.",35,Medium,lunch,390
115,Veg Burrito Bowl,"Rice, kidney beans, corn, bell pepper, onion, olive oil, cumin powder, salt",Mexican,veg,"Cook rice and keep aside. Heat olive oil and saut onion and bell pepper. Add cooked beans, corn, cumin powder, and salt. Cook for 5 minutes until well mixed. Serve vegetable mixture over rice in a bowl.",25,Easy,lunch,410
116,Chicken Hakka Noodles,"Noodles, chicken, cabbage, carrot, garlic, soy sauce, oil, salt",Chinese,non-veg,"Boil noodles and drain. Heat oil in a wok and saut garlic. Add chicken strips and cook until fully done. Add vegetables and stir fry on high heat. Add noodles, soy sauce, and salt. Toss well and serve hot.",30,Easy,lunch,470
117,Creamy Mushroom Rice,"Rice, mushrooms, onion, garlic, butter, cream, salt, pepper",Continental,veg,"Cook rice and keep aside. Heat butter in a pan and saut garlic and onion. Add sliced mushrooms and cook until soft. Add cream, salt, and pepper and simmer for 5 minutes. Mix in cooked rice and heat through. Serve warm.",35,Medium,lunch,450
118,Tuscan Herb Chicken with Rice,"Chicken thigh, rice, olive oil, garlic, rosemary, thyme, onion, salt, black pepper",Italian,non-veg,"Cook rice separately and keep warm. Heat olive oil in a pan and saut chopped garlic and onion until soft. Add chicken pieces, rosemary, thyme, salt, and black pepper. Cook chicken on medium heat until golden and fully cooked. Serve herb chicken over rice for a filling lunch.",40,Medium,lunch,520
119,Szechuan Eggplant with Rice,"Eggplant, garlic, ginger, soy sauce, chili paste, oil, sugar, spring onion",Chinese,veg,"Cut eggplant into long strips. Heat oil in a wok and fry eggplant until soft. Remove and keep aside. In the same wok saut garlic and ginger. Add chili paste, soy sauce, and sugar. Add eggplant back and toss until coated. Garnish with spring onion and serve with rice.",30,Medium,lunch,410
120,Mexican Quinoa Veg Bowl,"Quinoa, black beans, corn, bell pepper, onion, olive oil, cumin powder, salt",Mexican,veg,"Cook quinoa according to package instructions. Heat olive oil and saut onion and bell pepper. Add black beans, corn, cumin powder, and salt. Cook for 5 minutes. Serve vegetable mixture over quinoa for a healthy lunch bowl.",30,Easy,lunch,390
121,Middle Eastern Spiced Chicken Pilaf,"Chicken, basmati rice, onion, garlic, cinnamon, cumin, olive oil, salt",Middle Eastern,non-veg,"Heat olive oil and saut onion and garlic. Add chicken and cook until lightly browned. Add spices, salt, rice, and water. Cover and cook until rice and chicken are fully cooked. Fluff gently and serve hot.",45,Medium,lunch,560
122,Continental Herb Vegetable Casserole,"Potato, carrot, beans, cream, garlic, olive oil, mixed herbs, salt, pepper",Continental,veg,"Slice vegetables thinly. Heat olive oil and saut garlic briefly. Layer vegetables in a baking dish, season with salt, pepper, and herbs. Pour cream over vegetables and bake at 180C for 35 minutes until soft and golden.",45,Medium,lunch,480
123,Chicken Teriyaki Rice Bowl,"Chicken breast, rice, soy sauce, honey, garlic, oil, sesame seeds",Chinese,non-veg,"Cook rice and keep aside. Heat oil and cook chicken pieces until browned. Add garlic, soy sauce, and honey. Cook until sauce thickens and coats chicken. Serve over rice and garnish with sesame seeds.",35,Easy,lunch,510
124,Italian Spinach Ricotta Pasta,"Pasta, spinach, ricotta cheese, garlic, olive oil, salt, pepper",Italian,veg,"Boil pasta until al dente. Heat olive oil and saut garlic. Add spinach and cook until wilted. Add ricotta, salt, and pepper. Mix in pasta and toss well. Serve warm.",30,Easy,lunch,460
125,Mexican Chipotle Chicken Bowl,"Chicken, rice, chipotle sauce, onion, garlic, oil, salt",Mexican,non-veg,Cook rice and set aside. Heat oil and saut garlic and onion. Add chicken and cook until done. Add chipotle sauce and salt. Simmer briefly and serve chicken over rice.,35,Medium,lunch,530
126,Middle Eastern Vegetable Freekeh,"Freekeh wheat, onion, garlic, olive oil, carrot, cumin, salt",Middle Eastern,veg,Heat olive oil and saut onion and garlic. Add carrot and cumin. Add freekeh and water. Cook until grains are tender and fluffy. Season with salt and serve warm.,40,Medium,lunch,420
127,Continental Lemon Herb Chicken,"Chicken breast, lemon juice, garlic, olive oil, herbs, salt, pepper",Continental,non-veg,"Marinate chicken with lemon juice, garlic, herbs, salt, and pepper for 20 minutes. Grill or pan cook chicken until golden and cooked through. Serve with light salad or rice.",35,Easy,lunch,390
128,Chinese Black Pepper Tofu,"Tofu, bell pepper, garlic, soy sauce, black pepper, oil",Chinese,veg,Pan fry tofu cubes until golden. Remove and keep aside. Sauteee garlic and bell pepper. Add soy sauce and black pepper. Add tofu back and toss well. Serve hot with rice.,25,Easy,lunch,360
129,Italian Mushroom Polenta,"Polenta, mushroom, garlic, olive oil, parmesan cheese, salt",Italian,veg,Cook polenta according to instructions. Heat olive oil and saut garlic and mushrooms. Season with salt. Serve mushrooms over creamy polenta and top with parmesan.,40,Medium,lunch,470
130,Mexican Vegetable Enchilada Bowl,"Tortilla strips, beans, bell pepper, onion, tomato sauce, cheese",Mexican,veg,Cook beans and vegetables with tomato sauce until thick. Layer tortilla strips and vegetable mixture in a bowl. Top with cheese and bake until melted. Serve hot.,35,Medium,lunch,500
131,Italian Osso Buco Style Chicken,"Chicken thighs, onion, carrot, celery, garlic, tomato paste, olive oil, white wine, herbs, salt, pepper",Italian,non-veg,"Heat olive oil in a heavy pan and sear chicken thighs until deeply browned on both sides. Remove and keep aside. In the same pan saut onion, carrot, celery, and garlic until soft. Add tomato paste and cook until darkened. Deglaze with white wine and reduce slightly. Return chicken to pan, add herbs, salt, pepper, and enough water to partially cover. Cover and slow cook on low heat for 4550 minutes until chicken is very tender and sauce thickens. Serve with rice or mashed vegetables.",75,High,lunch,620
